State,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Alabama,4859,136,157,10,4682,999,32,45712,9397
Alaska,319,5,9,0,157,432,12,9895,13398
Arizona,4929,210,184,7,4675,710,26,52990,7628
Arkansas,1781,42,39,1,1021,596,13,24851,8310
California,30965,247,1149,2,28466,791,29,246400,6294
Colorado,9433,0,411,0,8524,1705,74,44606,8065
Connecticut,17550,0,1086,0,16399,4900,303,58213,16254
Delaware,2538,0,67,0,2005,2673,71,14794,15581
District Of Columbia,2793,127,96,5,2075,4080,140,13699,20013
Florida,25996,504,764,16,24546,1262,37,257877,12519
Georgia,18301,460,687,10,17583,1777,67,79933,7762
Hawaii,574,0,9,0,155,404,6,23617,16608
Idaho,1668,0,44,0,1171,988,26,16183,9588
Illinois,30357,1197,1290,31,28461,2368,101,143318,11178
Indiana,11210,569,562,17,10634,1689,85,61142,9212
Iowa,2902,389,75,1,1656,926,24,24550,7837
Kansas,1849,59,92,6,1317,636,32,18130,6233
Kentucky,2707,0,144,0,2257,610,32,32225,7258
Louisiana,23928,348,1296,29,22582,5131,278,141504,30342
Maine,867,20,34,2,440,651,26,14923,11197
Maryland,12830,522,486,23,11430,2137,81,67891,11309
Massachusetts,38077,1705,1706,146,28253,5575,250,162241,23754
Michigan,31424,633,2391,83,25796,3156,240,113800,11429
Minnesota,2356,143,134,13,1062,426,24,45716,8271
Mississippi,4274,300,159,7,4115,1430,53,38765,12970
Missouri,5667,150,194,10,5289,931,32,53525,8789
Montana,433,7,10,0,180,416,10,10898,10461
Nebraska,1287,0,28,0,1237,676,15,14652,7692
Nevada,3725,99,155,4,2401,1274,53,38621,13213
New Hampshire,1342,0,38,0,791,999,28,13424,9991
New Jersey,85301,3881,4202,132,79828,9604,473,172543,19426
New Mexico,1798,0,53,0,1280,859,25,36632,17507
New York,247215,6174,18298,627,205030,12601,933,617555,31478
North Carolina,6589,223,192,7,5514,649,19,78772,7756
North Dakota,585,57,10,1,386,778,13,13630,18120
Ohio,11602,1380,471,20,11011,997,40,86989,7472
Oklahoma,2599,29,140,1,925,663,36,35536,9070
Oregon,1910,66,74,2,1836,468,18,39038,9564
Pennsylvania,32734,1003,1237,135,30847,2559,97,158854,12419
Rhode Island,4706,215,150,13,4546,4454,142,34699,32840
South Carolina,4377,131,120,1,1519,883,24,38833,7836
South Dakota,1635,93,7,0,1076,1892,8,11660,13491
Tennessee,7070,308,148,3,3688,1063,22,90586,13620
Texas,18923,244,477,8,13640,679,17,182710,6552
Utah,3069,138,27,2,2363,1008,9,63555,20870
Vermont,812,9,38,0,774,1299,61,12726,20362
Virginia,8537,484,277,19,6993,1015,33,54733,6505
Washington,11802,0,624,0,9463,1618,86,135706,18604
West Virginia,863,38,18,0,620,472,10,20031,10952
Wisconsin,4346,147,220,9,3932,752,38,49669,8596
Wyoming,422,0,2,0,214,725,3,7280,12512
Guam,136,0,5,0,21,0,0,605,0
Northern Mariana Islands,13,0,2,0,11,0,0,45,0
Puerto Rico,1213,95,62,2,1147,358,18,11332,3346